year,state,D_pv,R_pv,D_pv2p,R_pv2p,D_pv_lag1,R_pv_lag1,D_pv2p_lag1,R_pv2p_lag1,D_pv_lag2,R_pv_lag2,D_pv2p_lag2,R_pv2p_lag2
1948,Alabama,0,19.03898037,0,100,NA,NA,NA,NA,NA,NA,NA,NA
1948,Arizona,53.7943693,43.82401943,55.10679904,44.89320096,NA,NA,NA,NA,NA,NA,NA,NA
1948,Arkansas,61.72141458,21.01618724,74.59898912,25.40101088,NA,NA,NA,NA,NA,NA,NA,NA
1948,California,47.5721975,47.12796448,50.23454713,49.76545287,NA,NA,NA,NA,NA,NA,NA,NA
1948,Colorado,51.87670916,46.52499723,52.71931866,47.28068134,NA,NA,NA,NA,NA,NA,NA,NA
1948,Connecticut,47.91039911,49.54669854,49.16050269,50.83949731,NA,NA,NA,NA,NA,NA,NA,NA
1948,Delaware,48.76072279,50.03703091,49.35408039,50.64591961,NA,NA,NA,NA,NA,NA,NA,NA
1948,Florida,48.81700289,33.63323021,59.20784096,40.79215904,NA,NA,NA,NA,NA,NA,NA,NA
1948,Georgia,60.80895206,18.31365638,76.85407908,23.14592092,NA,NA,NA,NA,NA,NA,NA,NA
1948,Idaho,49.98231044,47.25625652,51.40173493,48.59826507,NA,NA,NA,NA,NA,NA,NA,NA
1948,Illinois,50.0675695,49.22390454,50.4248426,49.5751574,NA,NA,NA,NA,NA,NA,NA,NA
1948,Indiana,48.77588283,49.5756587,49.59340959,50.40659041,NA,NA,NA,NA,NA,NA,NA,NA
1948,Iowa,50.31244221,47.58078808,51.39522116,48.60477884,NA,NA,NA,NA,NA,NA,NA,NA
1948,Kansas,44.61124795,53.62941308,45.41016671,54.58983329,NA,NA,NA,NA,NA,NA,NA,NA
1948,Kentucky,56.73755072,41.47653095,57.76926257,42.23073743,NA,NA,NA,NA,NA,NA,NA,NA
1948,Louisiana,32.74854925,17.45152953,65.2360515,34.7639485,NA,NA,NA,NA,NA,NA,NA,NA
