"","COUNTY","STATE","year","total_pop","white","black","american_indian","asian_pacific_islander","other_race","two_or_more_races","hispanic_white","hispanic_black","hispanic_american_indian","hispanic_asian_pacific_islander","hispanic_other_race","hispanic_two_or_more_races","not_hispanic_white","not_hispanic_black","not_hispanic_american_indian","not_hispanic_asian_pacific_islander","not_hispanic_other_race","not_hispanic_two_or_more_races","pct_under_5","pct_5_to_9","pct_10_to_14","pct_15_to_17","pct_18_to_19","pct_20","pct_21","pct_22_to_24","pct_25_to_29","pct_30_to_34","pct_35_to_44","pct_45_to_54","pct_55_to_59","pct_60_to_61","pct_62_to_64","pct_65_to_74","pct_75_to_84","pct_85_and_over","less_than_college","bachelors","graduate","under_18"
"1","Autauga County","Alabama",2020,58805,71.6945837938951,19.4626307286795,0.369016240115636,1.55769067256186,1.54748745854944,5.36859110619845,0.982909616529207,0.158149817192416,0.0561176770682765,0.0357112490434487,1.23288835983335,1.13425729104668,70.7116741773659,19.3044809114871,0.31289856304736,1.52197942351841,0.314599098716096,4.23433381515177,5.50123288835983,6.3344953660403,6.19845251254145,4.31595952725108,2.0032310177706,1.05263157894737,0.902984440098631,3.92483632344188,6.22226001190375,5.81413145140719,12.4207125244452,13.2913867868379,6.98069892015985,2.48788368336026,2.72765921265199,8.41935209591021,4.38228041833177,1.6359153133237,52.9937930448091,11.5721452257461,7.70002550803503,16.0156449281524
"2","Baldwin County","Alabama",2020,231767,81.719571811345,7.86004910103682,0.682582075964223,0.953543860860261,2.30188076818529,6.4823723826084,1.252982521239,0.093197047034306,0.125557132810107,0.0254566008102965,1.96749321516868,2.00891412496171,80.466589290106,7.76685205400251,0.557024943154116,0.928087260049964,0.334387553016607,4.47345825764669,5.16035501171435,4.9873364197664,6.54579815072896,3.58247722928631,2.02876164423753,1.04501503665319,0.826260856808778,2.8882455224428,5.30015058226581,5.22205490859354,11.3954963389956,12.3270353415283,6.57384355840133,2.57802016680546,4.43031147661229,11.6177022613228,5.89428175710951,1.78153058891041,51.9055775843843,14.1379057415422,7.86522671476095,15.2886303917296
"3","Barbour County","Alabama",2020,25223,44.8677794076835,47.3099948459739,0.459897712405344,0.467826983308885,4.11925623438925,2.77524481623915,0.915830789358918,0.329064742496927,0.229948856202672,0.0594695317765531,3.86948420092772,0.582801411410221,43.9519486183245,46.980930103477,0.229948856202672,0.408357451532332,0.249772033461523,2.19244340482893,5.28089442175792,6.14518495024383,5.66546406057963,3.61178289656266,1.88320183959085,1.99421163224042,0.622447765927923,3.45716211394362,7.31871704396781,7.12444990683107,12.0802442215438,12.3894857867819,6.3077350037664,2.27966538476787,4.11925623438925,11.3229988502557,5.70114577964556,1.91491892320501,69.9877096300995,5.47119692344289,3.05673393331483,14.5581413789002
"4","Bibb County","Alabama",2020,22293,74.2609787825775,19.7954514870139,0.26914278024492,0.183914233167362,2.08585654689813,3.40465617009824,0.506885569461266,0.103171399093886,0.094199973085722,0.026914278024492,1.87502803570628,0.713228367649038,73.7540932131162,19.69228008792,0.174942807159198,0.15699995514287,0.210828511191854,2.6914278024492,5.62059839411474,5.32005562284125,5.37388417889023,4.24797021486565,2.31462791010631,1.09899968600009,0.883685461804154,3.79042748844929,7.92625487821289,6.64334095904544,13.838424617593,14.0627102677971,6.75548378414749,2.64657067240838,3.35082761404925,9.72951150585386,5.28865563181268,1.4713138653389,71.556093841116,5.40528416991881,2.83945633158391,15.2424527878706
"5","Blount County","Alabama",2020,59134,85.6749078364393,1.42895795988771,0.569892109446342,0.341597050766057,5.80207663949674,6.18256840396388,1.52027598335983,0.0321304156661142,0.251970101802685,0.0287482666486285,5.63296918862245,2.29309703385531,84.1546318530794,1.3968275442216,0.317922007643657,0.312848784117428,0.169107450874286,3.88947137010857,5.92721615314371,5.89508573747759,6.89451077214462,3.89623566814354,2.31846315148645,1.18882537964623,0.87090337200257,3.34832752731085,6.05911996482565,5.57378158081645,11.9389860317246,12.902898501708,6.65437819190313,2.71924781005851,3.92329286028342,10.1785774681232,5.25247742415531,2.12568065748977,65.9180843507965,6.19609700003382,2.94077857070383,16.7179625934319
"6","Bullock County","Alabama",2020,10357,22.4003089697789,71.4106401467606,0.69518200251038,0.183450806218017,2.91590228830743,2.39451578642464,0.376556918026456,0.0772424447233755,0.685526696919957,0.0289659167712658,2.61658781500434,1.07173892053684,22.0237520517524,71.3333977020373,0.00965530559042194,0.154484889446751,0.29931447330308,1.32277686588781,5.73525152071063,5.62904315921599,7.03871777541759,3.60142898522738,6.14077435550835,0.0868977503137974,1.9793376460365,2.5103794535097,5.97663416047118,4.50902771072704,11.5187795693734,14.1450226899681,5.25248624118953,3.82350101380709,4.46075118277493,9.79047986868784,4.4028193492324,1.62209133919089,69.0644008882881,4.41247465482283,2.74210678767983,16.3753982813556
"7","Butler County","Alabama",2020,19051,51.1889139677707,44.2496456878904,0.152222980420975,0.776862106976012,0.551152170489738,3.08120308645215,0.383181985197627,0.215211799905517,0.0314944097422707,0,0.309695029132329,0.425174531520655,50.8057319825731,44.0344338879849,0.120728570678705,0.776862106976012,0.241457141357409,2.6560285549315,6.09416828512939,6.16240617290431,6.82903784578237,4.01553724213952,2.23610309170122,2.17836334050706,0.934334155687365,2.55104718912393,6.32512728990604,5.75297884625479,13.0491837698808,11.3694819169597,7.53241299669309,2.90798383286967,4.12576767623747,12.8339719699753,6.17290430948507,2.47231116476825,68.5948244186657,7.60065088446801,4.24649624691617,16.9387433730513
"8","Calhoun County","Alabama",2020,116441,69.2075815219725,21.9501721902079,0.418237562370643,1.12417447462663,2.12210475691552,5.17772949390679,0.916343899485576,0.16660798172465,0.0867392069803592,0.0283405329737807,1.84986387956132,1.25471268711193,68.2912376224869,21.7835642084833,0.331498355390283,1.09583394165285,0.272240877354197,3.92301680679486,5.72135244458567,5.82183251603817,5.95838235673002,3.77014968954234,2.84951176990922,1.3423106981218,1.43076751316117,3.47042708324387,6.88159668845166,6.06487405638907,11.7261102189091,12.2001700431978,6.52948703635318,2.80485396037478,4.22359821712284,10.3975403852595,5.32802019907077,1.66092699306945,63.3934782421999,7.77904689928805,5.73766972114633,15.449884490858
"9","Chambers County","Alabama",2020,34772,54.2102841366617,38.8588519498447,0.304842977108018,1.19061313700679,1.95559645691936,3.47981134245945,0.672955251351662,0.204187277119521,0.100655699988496,0.0517657885655125,1.62487058552859,0.90302542275394,53.53732888531,38.6546646727252,0.204187277119521,1.13884734844127,0.330725871390774,2.57678591970551,5.70574025077649,5.08742666513287,5.81502358219257,3.36765213390084,1.68238812837916,1.15610261129645,1.01230875417002,3.94282756240653,6.68066260209364,5.46129069366157,10.6580006902105,12.9213160013804,7.38812837915564,2.45024732543426,4.02335212239733,11.4488669044058,5.6367191993558,1.69389163694927,66.0272633153112,7.41976302772346,2.70907626826182,14.8884159668699
"10","Cherokee County","Alabama",2020,24971,90.9334828400945,3.95258499859837,0.436506347362941,0.228264787153098,0.764887269232309,3.68427375755877,0.57666893596572,0,0,0.00400464538865083,0.580673581354371,0.440510992751592,90.3568139041288,3.95258499859837,0.436506347362941,0.224260141764447,0.184213687877938,3.24376276480718,4.51723999839814,5.27411797685315,6.34335829562292,3.90052460854591,2.05438308437788,1.25345400664771,1.22942613431581,3.02751191382003,5.7586800688799,4.47318889912298,11.4933322654279,14.588923150855,8.40174602538945,3.59617155900845,4.44515638140243,14.2365143566537,7.35252893356293,2.31468503464018,74.0739257538745,5.03784389892275,5.11393216130712,14.761122902567
