,year,state,total_pop,white,black,american_indian,asian_pacific_islander,other_race,two_or_more_races,hispanic_white,hispanic_black,hispanic_american_indian,hispanic_asian_pacific_islander,hispanic_other_race,hispanic_two_or_more_races,not_hispanic_white,not_hispanic_black,not_hispanic_american_indian,not_hispanic_asian_pacific_islander,not_hispanic_other_race,not_hispanic_two_or_more_races,under_5,age_5_to_9,age_10_to_14,age_15_to_17,age_18_to_19,age_20,age_21,age_22_to_24,age_25_to_29,age_30_to_34,age_35_to_44,age_45_to_54,age_55_to_59,age_60_to_61,age_62_to_64,age_65_to_74,age_75_to_84,age_85_and_over,less_than_college,bachelors,graduate,under18
1,1972,Alabama,3534109.6,73.61298697,26.10261531,0.104532961,0.157511778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.514702504,9.680647555,10.32175106,6.104321741,3.772218137,1.814620787,1.701351862,4.716198895,6.65946072,5.892663717,11.10195567,10.6612789,4.890444373,1.842713046,2.494320634,6.258970664,2.830475737,0.741904,NA,NA,NA,34.62142286
2,1972,Alaska,320675.8,78.58412424,3.057478444,7.537775077,10.64822003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.48093562,11.52069705,10.82739023,5.599868286,3.378330474,2.347541202,2.674470824,6.696971997,9.534921606,8.114246011,12.81469774,8.8788612,2.90504468,0.834990457,0.982144212,1.666490432,0.531819446,0.21057853,NA,NA,NA,38.42889119
3,1972,Arizona,1960363,89.13383518,2.955447769,5.464251119,0.939476975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.741808472,9.933534642,10.34974793,5.889910474,3.705882542,1.827509854,1.763562941,4.970370174,6.99483589,6.066485302,11.01619866,10.43030265,4.574391307,1.739311122,2.440098428,6.354282122,2.62630425,0.575463235,NA,NA,NA,34.91500152
4,1972,Arkansas,1995923,81.66639632,17.92298945,0.195361465,0.184759875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.11008019,9.341539063,9.780742304,5.885635597,3.567418596,1.637998944,1.592643572,4.414049496,6.340992614,5.525783379,10.38762791,10.55710867,5.219067111,2.07116671,2.945139427,7.78187289,3.828243029,1.012890492,NA,NA,NA,33.11799715
5,1972,California,20696087.6,86.6085195,7.150542203,0.560721421,3.919846227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.029808317,9.085116705,9.390856523,5.499290476,3.587599179,1.838240796,1.793928864,5.338903513,7.731063938,6.587558411,11.83505176,11.33511488,4.757583963,1.689169038,2.239780287,5.674343049,2.830255584,0.756334715,NA,NA,NA,32.00507202
6,1972,Colorado,2343800,94.49307393,3.11078383,0.465686741,0.949633591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.252984599,9.599865441,10.03452341,5.763309512,3.976758496,2.0130777,2.030830963,5.462474255,7.799688608,6.696259982,11.66593713,10.36284294,4.246623595,1.531066161,2.042213872,5.067952405,2.696310941,0.757279996,NA,NA,NA,33.65068296
7,1972,Connecticut,3046882.4,92.91323957,6.175131066,0.090053584,0.475035587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.874864647,9.134113559,9.676853676,5.551197567,3.272568458,1.577576469,1.543090197,4.69610061,7.040376735,6.009706199,11.76942789,12.25309698,5.293812853,1.874704818,2.460652746,6.026916999,3.123325602,0.821613999,NA,NA,NA,32.23702945
8,1972,Delaware,557350.8,84.5049829,14.66075324,0.142556634,0.551685891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.459629295,9.835026795,10.28930152,5.790520581,3.712353258,1.711476273,1.694539588,4.940632517,7.244386733,6.234919314,11.86217874,11.38400182,4.632463836,1.649214385,2.170165664,5.200054178,2.522432816,0.666702689,NA,NA,NA,34.37447819
9,1972,District of Columbia,732874.6,27.6040448,70.91053475,0.132866073,1.121922401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.393613364,7.938698198,8.132853273,4.729572339,4.013951179,2.174469461,2.17600078,6.250670815,8.941727941,6.797403459,11.3127377,10.83320931,5.086007215,1.869903165,2.534320583,6.191186754,2.836187737,0.787486727,NA,NA,NA,28.19473717
10,1972,Florida,7380819.2,84.18679138,15.0299585,0.12998879,0.384821666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.075523076,8.412549855,8.982324319,5.222535292,3.238530628,1.585859462,1.518375364,4.411317906,6.267889087,5.604234034,10.93196345,11.00830349,5.231991329,2.149180382,3.238729902,9.79328255,4.408282077,0.919127792,NA,NA,NA,29.69293254
